date,open,close,Name
2015-08-14,93.54,94.42,FB
2015-08-17,94.42,93.93,FB
2015-08-18,94.08,95.17,FB
2015-08-19,94.63,95.31,FB
2015-08-20,93.54,90.56,FB
2015-08-21,87.52,86.06,FB
2015-08-24,77.03,82.09,FB
2015-08-25,86.95,83.0,FB
2015-08-26,85.95,87.19,FB
2015-08-27,89.19,89.73,FB
2015-08-28,89.94,91.01,FB
2015-08-31,90.59,89.43,FB
2015-09-01,86.99,87.23,FB
2015-09-02,88.82,89.89,FB
2015-09-03,89.76,88.15,FB
2015-09-04,87.2,88.26,FB
2015-09-08,89.69,89.53,FB
2015-09-09,90.78,90.44,FB
2015-09-10,90.07,91.98,FB
2015-09-11,91.68,92.05,FB
2015-09-14,92.31,92.31,FB
2015-09-15,92.37,92.9,FB
2015-09-16,92.9,93.45,FB
2015-09-17,93.37,94.34,FB
2015-09-18,93.2,94.4,FB
2015-09-21,94.62,95.55,FB
2015-09-22,93.77,92.96,FB
2015-09-23,93.4,93.97,FB
2015-09-24,93.06,94.41,FB
2015-09-25,95.79,92.77,FB
2015-09-28,92.08,89.21,FB
2015-09-29,89.1,86.67,FB
2015-09-30,88.44,89.9,FB
2015-10-01,90.05,90.95,FB
2015-10-02,88.9,92.07,FB
2015-10-05,92.94,94.01,FB
2015-10-06,94.08,92.8,FB
2015-10-07,93.11,92.4,FB
2015-10-08,91.89,92.47,FB
2015-10-09,92.9,93.24,FB
2015-10-12,93.32,94.26,FB
2015-10-13,93.66,94.12,FB
2015-10-14,94.08,94.07,FB
2015-10-15,94.99,95.96,FB
2015-10-16,96.18,97.54,FB
2015-10-19,97.18,98.47,FB
2015-10-20,98.73,97.0,FB
2015-10-21,97.37,97.11,FB
2015-10-22,97.79,99.67,FB
2015-10-23,101.91,102.19,FB
2015-10-26,102.2,103.77,FB
2015-10-27,102.94,103.7,FB
2015-10-28,103.9,104.2,FB
2015-10-29,103.96,104.88,FB
2015-10-30,104.51,101.97,FB
2015-11-02,102.46,103.31,FB
2015-11-03,103.22,102.58,FB
2015-11-04,103.19,103.94,FB
2015-11-05,108.8,108.76,FB
2015-11-06,108.04,107.095,FB
2015-11-09,107.0,106.49,FB
2015-11-10,105.96,107.91,FB
2015-11-11,108.27,109.01,FB
2015-11-12,108.48,108.02,FB
2015-11-13,107.71,103.95,FB
2015-11-16,103.32,104.04,FB
2015-11-17,104.62,105.13,FB
2015-11-18,105.8,107.77,FB
2015-11-19,107.36,106.26,FB
2015-11-20,106.84,107.32,FB
2015-11-23,107.19,106.95,FB
2015-11-24,106.0,105.74,FB
2015-11-25,106.33,105.41,FB
